Date,Open,High,Low,Close,Adj Close,Volume
1/3/00,1469.25,1478,1438.359985,1455.219971,1455.219971,931800000
1/4/00,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,1009000000
1/5/00,1399.420044,1413.27002,1377.680054,1402.109985,1402.109985,1085500000
1/6/00,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,1092300000
1/7/00,1403.449951,1441.469971,1400.72998,1441.469971,1441.469971,1225200000
1/10/00,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,1064800000
1/11/00,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,1014000000
1/12/00,1438.560059,1442.599976,1427.079956,1432.25,1432.25,974600000
1/13/00,1432.25,1454.199951,1432.25,1449.680054,1449.680054,1030400000
1/14/00,1449.680054,1473,1449.680054,1465.150024,1465.150024,1085900000
1/18/00,1465.150024,1465.150024,1451.300049,1455.140015,1455.140015,1056700000
1/19/00,1455.140015,1461.390015,1448.680054,1455.900024,1455.900024,1087800000
1/20/00,1455.900024,1465.709961,1438.540039,1445.569946,1445.569946,1100700000
1/21/00,1445.569946,1453.180054,1439.599976,1441.359985,1441.359985,1209800000
1/24/00,1441.359985,1454.089966,1395.420044,1401.530029,1401.530029,1115800000
1/25/00,1401.530029,1414.26001,1388.48999,1410.030029,1410.030029,1073700000
1/26/00,1410.030029,1412.72998,1400.160034,1404.089966,1404.089966,1117300000
1/27/00,1404.089966,1418.859985,1370.98999,1398.560059,1398.560059,1129500000
1/28/00,1398.560059,1398.560059,1356.199951,1360.160034,1360.160034,1095800000
1/31/00,1360.160034,1394.47998,1350.140015,1394.459961,1394.459961,993800000
2/1/00,1394.459961,1412.48999,1384.790039,1409.280029,1409.280029,981000000
2/2/00,1409.280029,1420.609985,1403.48999,1409.119995,1409.119995,1038600000
2/3/00,1409.119995,1425.780029,1398.52002,1424.969971,1424.969971,1146500000
2/4/00,1424.969971,1435.910034,1420.630005,1424.369995,1424.369995,1045100000
2/7/00,1424.369995,1427.150024,1413.329956,1424.23999,1424.23999,918100000
2/8/00,1424.23999,1441.829956,1424.23999,1441.719971,1441.719971,1047700000
2/9/00,1441.719971,1444.550049,1411.650024,1411.709961,1411.709961,1050500000
2/10/00,1411.699951,1422.099976,1406.430054,1416.829956,1416.829956,1058800000
2/11/00,1416.829956,1416.829956,1378.890015,1387.119995,1387.119995,1025700000
2/14/00,1387.119995,1394.930054,1380.530029,1389.939941,1389.939941,927300000
2/15/00,1389.939941,1407.719971,1376.25,1402.050049,1402.050049,1092100000
2/16/00,1402.050049,1404.550049,1385.579956,1387.670044,1387.670044,1018800000
2/17/00,1387.670044,1399.880005,1380.069946,1388.26001,1388.26001,1034800000
